world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag,rank_date,clean_country,rank
1994,USA,Denmark,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Denmark,9.0
1998,France,Denmark,Quarter-finals,3.0,5.0,2.0,9,7,1998-06-10,0.3181818181818182,1998-05-20,Denmark,27.0
2002,Korea/Japan,Denmark,Round of 16,2.0,4.0,2.0,5,5,2002-05-31,0.391304347826087,2002-05-15,Denmark,20.0
2006,Germany,Denmark,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Denmark,11.0
2010,South Africa,Denmark,Group stage,1.0,3.0,1.0,3,6,2010-06-11,0.4347826086956521,2010-05-26,Denmark,36.0
2014,Brazil,Denmark,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Denmark,23.0
2018,Russia,Denmark,Round of 16,2.0,4.0,1.0,3,2,2018-06-14,0.5652173913043478,2018-06-07,Denmark,12.0
2022,Qatar,Denmark,Group stage,1.0,3.0,0.0,1,3,2022-11-20,0.7307692307692307,2022-10-06,Denmark,10.0
1994,USA,Ecuador,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Ecuador,39.0
1998,France,Ecuador,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Ecuador,26.0
2002,Korea/Japan,Ecuador,Group stage,1.0,3.0,1.0,2,4,2002-05-31,0.0434782608695652,2002-05-15,Ecuador,36.0
2006,Germany,Ecuador,Round of 16,2.0,4.0,2.0,5,4,2006-06-09,0.0434782608695652,2006-05-17,Ecuador,39.0
2010,South Africa,Ecuador,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Ecuador,44.0
2014,Brazil,Ecuador,Group stage,1.0,3.0,1.0,3,3,2014-06-12,0.0869565217391304,2014-06-05,Ecuador,26.0
2018,Russia,Ecuador,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Ecuador,60.0
2022,Qatar,Ecuador,Group stage,1.0,3.0,1.0,4,3,2022-11-20,0.0769230769230769,2022-10-06,Ecuador,44.0
1994,USA,Egypt,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Egypt,25.0
1998,France,Egypt,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Egypt,17.0
