world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag
2014,Brazil,Portugal,Group stage,1.0,3.0,1.0,4,7,2014-06-12,0.43478260869565216
2018,Russia,Portugal,Round of 16,2.0,4.0,1.0,6,6,2018-06-14,0.4782608695652174
2022,Qatar,Portugal,Quarter-finals,3.0,5.0,3.0,12,6,2022-11-20,0.6923076923076923
2022,Qatar,Qatar,Group stage,1.0,3.0,0.0,1,7,2022-11-20,0.0
1994,USA,Republic of Ireland,Round of 16,2.0,4.0,1.0,2,4,1994-06-17,0.7272727272727273
2002,Korea/Japan,Republic of Ireland,Round of 16,2.0,4.0,1.0,6,3,2002-05-31,0.7391304347826086
1994,USA,Romania,Quarter-finals,3.0,5.0,3.0,10,9,1994-06-17,0.18181818181818182
1998,France,Romania,Round of 16,2.0,4.0,2.0,4,3,1998-06-10,0.36363636363636365
1994,USA,Russia,Group stage,1.0,3.0,1.0,7,6,1994-06-17,0.3181818181818182
2002,Korea/Japan,Russia,Group stage,1.0,3.0,1.0,4,4,2002-05-31,0.21739130434782608
2014,Brazil,Russia,Group stage,1.0,3.0,0.0,2,3,2014-06-12,0.0
2018,Russia,Russia,Quarter-finals,3.0,5.0,3.0,11,7,2018-06-14,0.043478260869565216
1994,USA,Saudi Arabia,Round of 16,2.0,4.0,2.0,5,6,1994-06-17,0.0
1998,France,Saudi Arabia,Group stage,1.0,3.0,0.0,2,7,1998-06-10,0.0
2002,Korea/Japan,Saudi Arabia,Group stage,1.0,3.0,0.0,0,12,2002-05-31,0.0
2006,Germany,Saudi Arabia,Group stage,1.0,3.0,0.0,2,7,2006-06-09,0.0
2018,Russia,Saudi Arabia,Group stage,1.0,3.0,1.0,2,7,2018-06-14,0.13043478260869565
2022,Qatar,Saudi Arabia,Group stage,1.0,3.0,1.0,3,5,2022-11-20,0.0
1998,France,Scotland,Group stage,1.0,3.0,0.0,2,6,1998-06-10,0.36363636363636365
2002,Korea/Japan,Senegal,Quarter-finals,3.0,5.0,2.0,7,6,2002-05-31,0.7391304347826086
2018,Russia,Senegal,Group stage,1.0,3.0,1.0,4,4,2018-06-14,0.6956521739130435
2022,Qatar,Senegal,Round of 16,2.0,4.0,2.0,5,7,2022-11-20,0.6538461538461539
1998,France,Serbia,Round of 16,2.0,4.0,2.0,5,4,1998-06-10,0.7272727272727273
2006,Germany,Serbia,Group stage,1.0,3.0,0.0,2,10,2006-06-09,0.34782608695652173
2010,South Africa,Serbia,Group stage,1.0,3.0,1.0,2,3,2010-06-11,0.5652173913043478
2018,Russia,Serbia,Group stage,1.0,3.0,1.0,2,4,2018-06-14,0.5217391304347826
2022,Qatar,Serbia,Group stage,1.0,3.0,0.0,5,8,2022-11-20,0.6153846153846154
2010,South Africa,Slovakia,Round of 16,2.0,4.0,1.0,5,7,2010-06-11,0.2608695652173913
2002,Korea/Japan,Slovenia,Group stage,1.0,3.0,0.0,2,7,2002-05-31,0.17391304347826086
2010,South Africa,Slovenia,Group stage,1.0,3.0,1.0,3,3,2010-06-11,0.30434782608695654
1998,France,South Africa,Group stage,1.0,3.0,0.0,3,6,1998-06-10,0.17391304347826086
2002,Korea/Japan,South Africa,Group stage,1.0,3.0,1.0,5,5,2002-05-31,0.17391304347826086
2010,South Africa,South Africa,Group stage,1.0,3.0,1.0,3,5,2010-06-11,0.13043478260869565
1994,USA,South Korea,Group stage,1.0,3.0,0.0,4,5,1994-06-17,0.0
1998,France,South Korea,Group stage,1.0,3.0,0.0,2,9,1998-06-10,0.045454545454545456
2002,Korea/Japan,South Korea,Fourth place,4.0,7.0,3.0,8,6,2002-05-31,0.043478260869565216
2006,Germany,South Korea,Group stage,1.0,3.0,1.0,3,4,2006-06-09,0.13043478260869565
2010,South Africa,South Korea,Round of 16,2.0,4.0,1.0,6,8,2010-06-11,0.17391304347826086
2014,Brazil,South Korea,Group stage,1.0,3.0,0.0,3,6,2014-06-12,0.21739130434782608
2018,Russia,South Korea,Group stage,1.0,3.0,1.0,3,3,2018-06-14,0.13043478260869565
2022,Qatar,South Korea,Round of 16,2.0,4.0,1.0,5,8,2022-11-20,0.23076923076923078
1994,USA,Spain,Quarter-finals,3.0,5.0,2.0,10,6,1994-06-17,1.0
1998,France,Spain,Group stage,1.0,3.0,1.0,8,4,1998-06-10,1.0
2002,Korea/Japan,Spain,Quarter-finals,3.0,5.0,4.0,10,5,2002-05-31,1.0
2006,Germany,Spain,Round of 16,2.0,4.0,3.0,9,4,2006-06-09,1.0
2010,South Africa,Spain,Winner,7.0,7.0,6.0,8,2,2010-06-11,1.0
2014,Brazil,Spain,Group stage,1.0,3.0,1.0,4,7,2014-06-12,1.0
2018,Russia,Spain,Round of 16,2.0,4.0,1.0,7,6,2018-06-14,1.0
2022,Qatar,Spain,Round of 16,2.0,4.0,1.0,9,3,2022-11-20,0.9615384615384616
1994,USA,Sweden,Third place,5.0,7.0,4.0,15,8,1994-06-17,0.3181818181818182
2002,Korea/Japan,Sweden,Round of 16,2.0,4.0,1.0,5,5,2002-05-31,0.43478260869565216
2006,Germany,Sweden,Round of 16,2.0,4.0,1.0,3,4,2006-06-09,0.30434782608695654
2018,Russia,Sweden,Quarter-finals,3.0,5.0,3.0,6,4,2018-06-14,0.6086956521739131
1994,USA,Switzerland,Round of 16,2.0,4.0,1.0,5,7,1994-06-17,0.18181818181818182
2006,Germany,Switzerland,Round of 16,2.0,4.0,2.0,4,0,2006-06-09,0.5652173913043478
2010,South Africa,Switzerland,Group stage,1.0,3.0,1.0,1,1,2010-06-11,0.5652173913043478
2014,Brazil,Switzerland,Round of 16,2.0,4.0,2.0,7,7,2014-06-12,0.6956521739130435
2018,Russia,Switzerland,Round of 16,2.0,4.0,1.0,5,5,2018-06-14,0.782608695652174
2022,Qatar,Switzerland,Round of 16,2.0,4.0,2.0,5,9,2022-11-20,0.5769230769230769
2006,Germany,Togo,Group stage,1.0,3.0,0.0,1,6,2006-06-09,0.13043478260869565
2006,Germany,Trinidad and Tobago,Group stage,1.0,3.0,0.0,0,4,2006-06-09,0.043478260869565216
1998,France,Tunisia,Group stage,1.0,3.0,0.0,1,4,1998-06-10,0.045454545454545456
2002,Korea/Japan,Tunisia,Group stage,1.0,3.0,0.0,1,5,2002-05-31,0.043478260869565216
2006,Germany,Tunisia,Group stage,1.0,3.0,0.0,3,6,2006-06-09,0.43478260869565216
2018,Russia,Tunisia,Group stage,1.0,3.0,1.0,5,8,2018-06-14,0.30434782608695654
2022,Qatar,Tunisia,Group stage,1.0,3.0,1.0,1,1,2022-11-20,0.15384615384615385
2002,Korea/Japan,Turkey,Third place,5.0,7.0,4.0,10,6,2002-05-31,0.391304347826087
2006,Germany,Ukraine,Quarter-finals,3.0,5.0,3.0,5,7,2006-06-09,0.0
1994,USA,United States,Round of 16,2.0,4.0,1.0,3,4,1994-06-17,0.045454545454545456
1998,France,United States,Group stage,1.0,3.0,0.0,1,5,1998-06-10,0.13636363636363635
2002,Korea/Japan,United States,Quarter-finals,3.0,5.0,2.0,7,7,2002-05-31,0.30434782608695654
2006,Germany,United States,Group stage,1.0,3.0,0.0,2,6,2006-06-09,0.2608695652173913
2010,South Africa,United States,Round of 16,2.0,4.0,1.0,5,5,2010-06-11,0.5217391304347826
2014,Brazil,United States,Round of 16,2.0,4.0,1.0,5,6,2014-06-12,0.34782608695652173
2022,Qatar,United States,Round of 16,2.0,4.0,1.0,3,4,2022-11-20,0.46153846153846156
2002,Korea/Japan,Uruguay,Group stage,1.0,3.0,0.0,4,5,2002-05-31,0.5652173913043478
2010,South Africa,Uruguay,Fourth place,4.0,7.0,4.0,11,8,2010-06-11,0.30434782608695654
2014,Brazil,Uruguay,Round of 16,2.0,4.0,2.0,4,6,2014-06-12,0.5217391304347826
2018,Russia,Uruguay,Quarter-finals,3.0,5.0,4.0,7,3,2018-06-14,0.4782608695652174
2022,Qatar,Uruguay,Group stage,1.0,3.0,1.0,2,2,2022-11-20,0.38461538461538464
2022,Qatar,Wales,Group stage,1.0,3.0,0.0,1,6,2022-11-20,0.23076923076923078
