world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against
1990,Italy,Egypt,Group stage,1.0,3.0,0.0,1.0,2.0
1994,USA,Egypt,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Egypt,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Egypt,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Egypt,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Egypt,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Egypt,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Egypt,Group stage,1.0,3.0,0.0,2.0,6.0
1986,Mexico,England,Quarter-finals,3.0,5.0,2.0,7.0,3.0
1990,Italy,England,Fourth place,4.0,7.0,3.0,8.0,6.0
1994,USA,England,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,England,Round of 16,2.0,4.0,2.0,7.0,4.0
2002,Korea/Japan,England,Quarter-finals,3.0,5.0,2.0,6.0,3.0
2006,Germany,England,Quarter-finals,3.0,5.0,3.0,6.0,2.0
2010,South Africa,England,Round of 16,2.0,4.0,1.0,3.0,5.0
2014,Brazil,England,Group stage,1.0,3.0,0.0,2.0,4.0
2018,Russia,England,Fourth place,4.0,7.0,4.0,12.0,8.0
1986,Mexico,France,Third place,5.0,7.0,5.0,12.0,6.0
1990,Italy,France,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,France,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,France,Winner,7.0,7.0,7.0,15.0,2.0
2002,Korea/Japan,France,Group stage,1.0,3.0,0.0,0.0,3.0
2006,Germany,France,Runners-up,6.0,7.0,4.0,9.0,3.0
2010,South Africa,France,Group stage,1.0,3.0,0.0,1.0,4.0
2014,Brazil,France,Quarter-finals,3.0,5.0,3.0,10.0,3.0
2018,Russia,France,Winner,7.0,7.0,6.0,14.0,6.0
1986,Mexico,Germany,Runners-up,6.0,7.0,4.0,8.0,7.0
1990,Italy,Germany,Winner,7.0,7.0,6.0,15.0,5.0
1994,USA,Germany,Quarter-finals,3.0,5.0,3.0,9.0,7.0
1998,France,Germany,Quarter-finals,3.0,5.0,3.0,8.0,6.0
2002,Korea/Japan,Germany,Runners-up,6.0,7.0,5.0,14.0,3.0
2006,Germany,Germany,Third place,5.0,7.0,6.0,14.0,6.0
2010,South Africa,Germany,Third place,5.0,7.0,5.0,16.0,5.0
2014,Brazil,Germany,Winner,7.0,7.0,6.0,18.0,4.0
2018,Russia,Germany,Group stage,1.0,3.0,1.0,2.0,4.0
1986,Mexico,Ghana,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Ghana,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Ghana,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Ghana,Did not qualify,0.0,0.0,0.0,0.0,0.0
