world_cup_year,team,host_country,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,Big5_flag,start_date,rank_date,clean_country,rank,gdp_per_capita_tminus0,gdp_per_capita_tminus1,gdp_per_capita_tminus2,gdp_per_capita_tminus3,norm_gdp_per_capita_tminus0,norm_gdp_per_capita_tminus1,norm_gdp_per_capita_tminus2,norm_gdp_per_capita_tminus3,hdi_tminus0,hdi_tminus1,hdi_tminus2,hdi_tminus3,life_expectancy_tminus0,life_expectancy_tminus1,life_expectancy_tminus2,life_expectancy_tminus3,mean_school_years_tminus0,mean_school_years_tminus1,mean_school_years_tminus2,mean_school_years_tminus3
2002,Belgium,Korea/Japan,Round of 16,2.0,4.0,1.0,6.0,7.0,0.3043478260869565,2002-05-31,2002-05-15,Belgium,23.0,25006.191397109,23015.0712632462,23098.8865077401,25252.8019066564,0.8567644753779612,0.7484386225665189,0.7529985472460947,0.8701811915793891,0.901,0.899,0.894,0.889,78.168,78.082,77.768,77.648,10.73582136,10.63867396,10.54152656,10.45471399
2006,Belgium,Germany,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2006-06-09,2006-05-17,Belgium,56.0,38705.1067959147,36809.7013403619,35429.4077933344,30655.2092679024,1.6020468257143756,1.4989282800754993,1.4238341292661203,1.1640963475205075,0.913,0.911,0.909,0.903,79.389,79.053,78.96,78.32,11.05000019,11.02726356,10.93011616,10.83296876
2010,Belgium,South Africa,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2010-06-11,2010-05-26,Belgium,59.0,44197.393671162,44923.3400135081,48303.397956286,44319.165448813,1.9008518297560104,1.9403465620389035,2.124236852221029,1.9074767598333435,0.921,0.919,0.917,0.916,80.04,79.849,79.579,79.528,11.42000008,11.31999969,11.18000031,11.11500025
2014,Belgium,Brazil,Quarter-finals,3.0,5.0,4.0,6.0,3.0,0.7391304347826086,2014-06-12,2014-06-05,Belgium,11.0,47995.7786961339,46964.5946777056,44874.1709182123,47760.8298776546,2.1075009867498924,2.051399957835545,1.937671543043665,2.0947187187711966,0.93,0.925,0.923,0.923,81.08,80.467,80.26,80.366,11.64000034,11.53999996,11.5,11.47000027
2018,Belgium,Russia,Third place,5.0,7.0,6.0,16.0,6.0,0.8260869565217391,2018-06-14,2018-06-07,Belgium,3.0,47487.2100392561,44035.3239358548,41854.5498296444,40893.804537772,2.07983257411495,1.8920345103017508,1.7733906320009198,1.7211217852815852,0.942,0.94,0.936,0.933,81.481,81.362,81.265,80.889,12.30999994,12.23999977,11.98999977,11.89000034
2022,Belgium,Qatar,Group stage,1.0,3.0,1.0,1.0,2.0,0.6923076923076923,2022-11-20,2022-10-06,Belgium,2.0,50822.2518538518,51658.238294958,45906.2875805246,46716.6227467964,2.2612737853125022,2.306755191798984,1.9938233119622863,2.037909174214706,0.945,0.948,0.939,0.945,81.159,81.659,80.798,81.835,12.68965045,12.68965045,12.53386908,12.38000011
1994,Bolivia,USA,Group stage,1.0,3.0,0.0,1.0,4.0,0.0,1994-06-17,1994-06-14,Bolivia,43.0,774.035669644318,756.637016048451,759.57113496365,733.935487602519,-0.461573323529636,-0.4625198882077233,-0.4623602589978461,-0.4637549530273723,0.586,0.577,0.568,0.561,59.282,58.66,57.923,57.439,6.43222226,6.321111149,6.210000038,6.100842014
1998,Bolivia,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Bolivia,33.0,1022.14506519545,970.351843368594,922.113259069714,852.754034861444,-0.4480750612166199,-0.4508928444476908,-0.4535172394772641,-0.4572906919098528,0.618,0.61,0.602,0.594,61.227,60.745,60.287,59.787,6.876666705,6.765555594,6.654444483,6.543333371
2002,Bolivia,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Bolivia,70.0,888.221328974352,930.168227214313,975.777060358751,979.344494964572,-0.4553611122645294,-0.4530790131348183,-0.4505976883457806,-0.4504036039259345,0.642,0.639,0.63,0.624,63.068,62.538,62.057,61.655,7.14800005,7.210000038,7.098888927,6.987777816
2006,Bolivia,Germany,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2006-06-09,2006-05-17,Bolivia,102.0,1202.71150446327,1020.12326200737,953.191893246277,893.013760211149,-0.4382514382266471,-0.4481850563649994,-0.4518264225877478,-0.4551003825416277,0.656,0.658,0.648,0.645,64.529,64.182,63.819,63.455,6.900000095,6.962000084,7.024000072,7.086000061
2010,Bolivia,South Africa,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2010-06-11,2010-05-26,Bolivia,65.0,1929.78373077158,1731.18172112209,1692.67248455876,1354.54905949929,-0.3986954528137707,-0.4095002916075055,-0.411595366545926,-0.429990795205489,0.677,0.671,0.668,0.664,66.003,65.656,65.299,64.939,7.710000038,7.480000019,7.199999809,7.049999952
2014,Bolivia,Brazil,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2014-06-12,2014-06-05,Bolivia,67.0,3041.43503162408,2870.02377000756,2575.59857098084,2315.52121930607,-0.3382166433507884,-0.347542183673698,-0.3635602331280388,-0.3777096058544622,0.701,0.699,0.685,0.683,66.97,66.777,66.586,66.282,8.676666896,8.423333486,8.170000076,7.940000057
2018,Bolivia,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Bolivia,59.0,3500.72642189887,3306.30301224425,3035.87347732132,2996.01289811344,-0.3132291347146582,-0.323806638954187,-0.3385192168131112,-0.3406878108435853,0.722,0.715,0.714,0.704,67.699,67.536,67.392,67.205,9.627499819,9.394999981,9.162500143,8.930000305
2022,Bolivia,,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2022-11-20,2022-10-06,Bolivia,82.0,3643.92826984604,3384.84486462654,3099.94219053514,3503.89601123129,-0.3054383128354392,-0.319533610423158,-0.3350335918729654,-0.3130566948594946,0.727,0.693,0.697,0.728,67.434,61.427,62.906,67.82,10.02122319,10.02122319,9.829999924,9.859999657
1994,Bosnia and Herzegovina,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,,,337.090896023259,929.872118717018,1118.17569934079,1373.37104472973,-0.4853450761371384,-0.4530951227632374,-0.4428505646315562,-0.4289667949118773,0.674,0.674,0.674,0.674,66.603,50.894,51.967,71.813,6.612996281,6.612996281,6.612996281,6.612996281
1998,Bosnia and Herzegovina,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Bosnia and Herzegovina,102.0,1006.70479669823,913.813399054859,718.933797141505,502.365980975339,-0.4489150809744203,-0.4539687890342365,-0.4645711121757659,-0.4763533713065592,0.674,0.674,0.674,0.674,74.472,73.895,73.454,70.188,6.612996281,6.612996281,6.612996281,6.612996281
2002,Bosnia and Herzegovina,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Bosnia and Herzegovina,72.0,1606.54672243362,1387.89365131544,1338.48059636261,1134.60298042083,-0.41628099373264,-0.4281767000719491,-0.4308649915651398,-0.4419568469687669,0.683,0.677,0.674,0.674,75.994,75.573,75.292,74.946,6.639207526,6.626101903,6.612996281,6.612996281
2006,Bosnia and Herzegovina,Germany,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2006-06-09,2006-05-17,Bosnia and Herzegovina,63.0,3166.12865344833,2739.61076866057,2452.68616839392,2033.94700935864,-0.331432751864515,-0.354637235021105,-0.3702472183103447,-0.3930285039478131,0.701,0.698,0.694,0.689,76.028,76.424,76.489,76.449,6.691630016,6.678524394,6.665418771,6.652313149
2010,Bosnia and Herzegovina,South Africa,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2010-06-11,2010-05-26,Bosnia and Herzegovina,51.0,4506.47828548389,4539.91863774968,4841.69311934649,3931.48948737505,-0.2585117289254945,-0.2566924239946167,-0.2402745406536019,-0.2897936947159415,0.725,0.722,0.719,0.709,76.827,76.701,76.3,76.162,7.110000134,7.005407604,6.900815075,6.796222546
2014,Bosnia and Herzegovina,Brazil,Group stage,1.0,3.0,1.0,4.0,4.0,0.3478260869565217,2014-06-12,2014-06-05,Bosnia and Herzegovina,21.0,5206.06558252,5034.56616016469,4693.78899115381,4982.69375768263,-0.2204510467603921,-0.2297813834223329,-0.2483211876380419,-0.2326034744356694,0.765,0.756,0.742,0.731,77.089,77.129,77.037,76.963,9.18999958,8.539999644,7.889999708,7.239999771
2018,Bosnia and Herzegovina,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Bosnia and Herzegovina,40.0,6047.84584261133,5345.01985489192,4928.5665251728,4662.25883724069,-0.1746544305726346,-0.2128913120158692,-0.2355482383011101,-0.2500365692234255,0.785,0.78,0.776,0.769,77.942,77.385,77.124,77.073,9.81000042,9.75,9.68999958,9.289999962
2022,Bosnia and Herzegovina,,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2022-11-20,2022-10-06,Bosnia and Herzegovina,58.0,7655.59421024383,7295.3438240957,6130.31133245161,6122.3753450882,-0.0871857188319119,-0.1067849532736025,-0.1701679385912939,-0.1705996918463696,0.799,0.783,0.783,0.788,76.777,74.567,76.04,77.394,10.97000027,10.75500011,10.53999996,10.17500019
