country,iso3,year,gdp_per_capita,norm_gdp_per_capita
Austria,AUT,2007,46622.9622913635,2.0328136259667993
Belgium,BEL,2007,44319.165448813,1.9074767598333433
Bulgaria,BGR,2007,5888.57081403932,-0.1833197054639882
Bosnia and Herzegovina,BIH,2007,3931.48948737505,-0.2897936947159415
Bolivia,BOL,2007,1354.54905949929,-0.42999079520548905
Brazil,BRA,2007,7409.69130673473,-0.10056393809573688
Canada,CAN,2007,44660.0838892281,1.926024249846147
Switzerland,CHE,2007,64989.1553256031,3.0320167827717333
Chile,CHL,2007,10346.4138184533,0.05920691909273005
China,CHN,2007,2734.72709877693,-0.354902928535021
Ivory Coast,CIV,2007,1367.53817722326,-0.42928412902759877
Cameroon,CMR,2007,1325.67248215933,-0.4315618103408532
Colombia,COL,2007,4769.926147194,-0.24417898535781543
Costa Rica,CRI,2007,6137.71199925542,-0.16976530917217353
Czech Republic,CZE,2007,18452.6532812196,0.500222650872997
Germany,DEU,2007,42350.9217211489,1.8003954859745168
Denmark,DNK,2007,58631.6566433635,2.686140381449241
Algeria,DZA,2007,4167.45169937531,-0.27695629359107105
Ecuador,ECU,2007,3478.92488770671,-0.31441523581614317
Egypt,EGY,2007,1547.74170735909,-0.4194802499197492
Spain,ESP,2007,32652.015594702,1.2727315546941773
France,FRA,2007,41486.1907828787,1.7533502501057843
Ghana,GHA,2007,1050.12461524926,-0.4465528483830931
Greece,GRC,2007,28440.7625328955,1.0436205274052432
Honduras,HND,2007,1577.73789197407,-0.4178483231342953
Croatia,HRV,2007,13757.605654192,0.24479103248971995
Republic of Ireland,IRL,2007,61396.417461176,2.836555752333054
Iran,IRN,2007,4687.99166265915,-0.24863658827235413
Iceland,ISL,2007,69495.7267376825,3.277194450942912
Italy,ITA,2007,37826.1754554823,1.5542290243693946
Jamaica,JAM,2007,4716.48612542727,-0.24708636188105534
Japan,JPN,2007,35779.0245416427,1.4428548461849866
South Korea,KOR,2007,24086.4104391677,0.8067242718893745
Morocco,MAR,2007,2755.5859375,-0.3537681142890572
Mexico,MEX,2007,10134.3327129706,0.047668757117521963
Nigeria,NGA,2007,1815.52697545827,-0.4049115320187814
Netherlands,NLD,2007,52100.7996285947,2.330832510425941
Norway,NOR,2007,85502.2677087731,4.148021967457873
New Zealand,NZL,2007,32479.9817381467,1.2633721424182134
Panama,PAN,2007,6317.81730274124,-0.15996677403400716
Peru,PER,2007,3581.0893081917,-0.30885703378312307
Poland,POL,2007,11272.5293683383,0.10959175275347145
North Korea,PRK,2007,,
Portugal,PRT,2007,22811.0564844365,0.7373393048885726
Paraguay,PRY,2007,3211.93621659546,-0.3289406152732888
Qatar,QAT,2007,65954.3419525051,3.0845272580078613
Romania,ROU,2007,8360.33775916596,-0.04884451347116477
Russia,RUS,2007,9101.2392578125,-0.008536153706624122
Saudi Arabia,SAU,2007,18596.1502627898,0.508029529343109
Senegal,SEN,2007,1188.93877808175,-0.4390007362250168
Serbia,SRB,2007,6081.08765700202,-0.17284592699134382
Slovakia,SVK,2007,16110.4817265237,0.3727980285319438
Slovenia,SVN,2007,23725.1596001515,0.787070608330983
Sweden,SWE,2007,53568.5645523213,2.410685495881394
Togo,TGO,2007,607.588224471809,-0.47062881000679707
Trinidad and Tobago,TTO,2007,16606.675360681,0.39979318450750095
Tunisia,TUN,2007,3726.91672935667,-0.3009233689618335
Turkey,TUR,2007,9711.22376120832,0.024649735184934556
Ukraine,UKR,2007,3160.32763671875,-0.3317483531553252
Uruguay,URY,2007,7222.05403645877,-0.11077224596032653
United States,USA,2007,48050.227412195,2.110463240760334
South Africa,ZAF,2007,6591.85535960564,-0.14505787642016182
Angola,AGO,2008,4103.0669003635,-0.2804591150142651
Argentina,ARG,2008,8944.1102657357,-0.017084674601292798
Australia,AUS,2008,49701.2817843335,2.200287993098601
Austria,AUT,2008,51581.3982361071,2.302574748457799
Belgium,BEL,2008,48303.397956286,2.1242368522210295
Bulgaria,BGR,2008,7271.30338858025,-0.10809286063432895
Bosnia and Herzegovina,BIH,2008,4841.69311934649,-0.24027454065360193
Bolivia,BOL,2008,1692.67248455876,-0.411595366545926
Brazil,BRA,2008,8908.33176538648,-0.019031185259655158
Canada,CAN,2008,46710.2526864484,2.037562614402507
Switzerland,CHE,2008,74175.1927898555,3.5317783618696854
Chile,CHL,2008,10683.2188772511,0.07753062272315779
China,CHN,2008,3523.44302065213,-0.3119932500027959
Ivory Coast,CIV,2008,1583.97066701372,-0.41750923225772313
Cameroon,CMR,2008,1492.14269801453,-0.4225050850365718
Colombia,COL,2008,5541.83629665898,-0.2021836161118714
Costa Rica,CRI,2008,6937.24261596055,-0.12626726280597197
Czech Republic,CZE,2008,22774.7045076205,0.7353615945420172
Germany,DEU,2008,46386.3295924799,2.0199397473525993
Denmark,DNK,2008,64616.6657583663,3.0117516820638164
Algeria,DZA,2008,5180.91881514686,-0.22181914352904952
Ecuador,ECU,2008,4194.75750661981,-0.27547073538382877
Egypt,EGY,2008,1896.21594269779,-0.40052169082334405
Spain,ESP,2008,35603.248328071,1.433291832926625
France,FRA,2008,45464.8181385158,1.969805397130087
Ghana,GHA,2008,1182.65761256016,-0.43934245976053043
Greece,GRC,2008,31695.8331092209,1.2207109450777403
Honduras,HND,2008,1732.49062702803,-0.40942908126409155
Croatia,HRV,2008,15889.4347074759,0.3607720807036096
Republic of Ireland,IRL,2008,61353.1065629523,2.834199445495349
Iran,IRN,2008,5377.41150725587,-0.21112906105641085
Iceland,ISL,2008,56943.3704468563,2.594290051117023
Italy,ITA,2008,40828.5795580937,1.7175732542672593
Jamaica,JAM,2008,5029.80095281745,-0.2300406320437166
Japan,JPN,2008,39876.3039685725,1.665765197288659
South Korea,KOR,2008,21350.427979823,0.6578745725943929
Morocco,MAR,2008,3183.20043945313,-0.33050397024730704
Mexico,MEX,2008,10523.7685427665,0.06885581040502563
Nigeria,NGA,2008,2154.10543545364,-0.3864913474207633
Netherlands,NLD,2008,58246.7026905874,2.6651971623443713
Norway,NOR,2008,97503.5407803783,4.800944972049523
New Zealand,NZL,2008,31324.7397977102,1.2005218069346628
Panama,PAN,2008,7347.59050324397,-0.10394249993337028
Peru,PER,2008,4197.58444634142,-0.2753169372021009
Poland,POL,2008,14048.5604672654,0.26062027740555765
North Korea,PRK,2008,,
Portugal,PRT,2008,24949.0413566739,0.8536552572232885
Paraguay,PRY,2008,4384.9546943793,-0.26512315654316176
Qatar,QAT,2008,80781.4039187792,3.8911858341876817
Romania,ROU,2008,10435.1561230787,0.06403489791003505
Russia,RUS,2008,11635.2841796875,0.12932723914254313
Saudi Arabia,SAU,2008,22320.4888964331,0.7106502310208769
Senegal,SEN,2008,1398.79218010021,-0.4275837712953665
Serbia,SRB,2008,7376.73517910716,-0.10235689903762309
Slovakia,SVK,2008,18744.3192278346,0.5160905846384157
Slovenia,SVN,2008,27461.9764165315,0.9903701790350348
Sweden,SWE,2008,55817.4392710726,2.533034352503228
Togo,TGO,2008,718.948786366771,-0.4645702966947799
Trinidad and Tobago,TTO,2008,21298.9945258063,0.6550763623434683
Tunisia,TUN,2008,4255.05008019523,-0.272190549352018
Turkey,TUR,2008,10843.5036940489,0.08625083461648193
Ukraine,UKR,2008,4017.806640625,-0.28509765499486406
Uruguay,URY,2008,9423.96562595893,0.009021606098847466
United States,USA,2008,48570.0594269601,2.1387444305089782
South Africa,ZAF,2008,6184.75474328399,-0.1672059732090546
Angola,AGO,2009,3136.64546955947,-0.3330367691129175
Argentina,ARG,2009,8150.23527028221,-0.06027502984185953
Australia,AUS,2009,42816.5674002829,1.8257286963832209
Austria,AUT,2009,47857.4446635266,2.0999749958264013
Belgium,BEL,2009,44923.3400135081,1.9403465620389035
Bulgaria,BGR,2009,6988.27316296465,-0.12349097250101222
Bosnia and Herzegovina,BIH,2009,4539.91863774968,-0.2566924239946167
Bolivia,BOL,2009,1731.18172112209,-0.40950029160750556
Brazil,BRA,2009,8678.6592244676,-0.03152640010846593
Canada,CAN,2009,40874.8831932903,1.7200923793997096
Switzerland,CHE,2009,71568.3123885672,3.3899523927358466
Chile,CHL,2009,10098.8017167286,0.04573571179107659
China,CHN,2009,3898.24459158811,-0.29160236593898886
Ivory Coast,CIV,2009,1540.45393569596,-0.4198767373375988
Cameroon,CMR,2009,1461.38999232337,-0.4241781699567626
Colombia,COL,2009,5250.97292433518,-0.21800788624139977
Costa Rica,CRI,2009,6832.69829924138,-0.13195494185285264
Czech Republic,CZE,2009,19817.4215836554,0.5744721588444579
Germany,DEU,2009,42487.2137101496,1.807810380580211
Denmark,DNK,2009,58412.7472358513,2.674230729262056
Algeria,DZA,2009,4235.42990456612,-0.27325797477813246
Ecuador,ECU,2009,4053.36331139298,-0.28316321285921814
Egypt,EGY,2009,2161.63964573927,-0.38608145263813753
Spain,ESP,2009,32279.8208476151,1.2524824935228107
France,FRA,2009,41728.0884164132,1.7665105647447903
Ghana,GHA,2009,1047.70430093586,-0.4466845243214817
Greece,GRC,2009,29425.4573200263,1.0971923339280312
Honduras,HND,2009,1781.15703614674,-0.4067814106482421
Croatia,HRV,2009,14475.9632928725,0.2838729053060595
Republic of Ireland,IRL,2009,52133.0909237885,2.3325893015058785
Iran,IRN,2009,5415.52280554144,-0.20905563574252664
Iceland,ISL,2009,41301.273219718,1.7432899064888798
Italy,ITA,2009,37099.6133958219,1.514700794307022
Jamaica,JAM,2009,4428.38153333557,-0.26276054201034765
Japan,JPN,2009,41308.9968370512,1.7437101058631812
South Korea,KOR,2009,19143.8516053025,0.537826935338175
Morocco,MAR,2009,3119.58862304688,-0.33396473795484044
Mexico,MEX,2009,8423.56933214711,-0.045404432708933844
Nigeria,NGA,2009,1820.48633854782,-0.40464172045546054
Netherlands,NLD,2009,53172.0261581418,2.3891120312815257
Norway,NOR,2009,80347.5700665184,3.867583329634904
New Zealand,NZL,2009,28276.7255416225,1.0346961804157937
Panama,PAN,2009,7796.92617035048,-0.07949662722578961
Peru,PER,2009,4181.18755462253,-0.2762090015475403
Poland,POL,2009,11556.3026866026,0.12503029218829548
North Korea,PRK,2009,,
Portugal,PRT,2009,23151.2154130712,0.7558454740589353
Paraguay,PRY,2009,3941.84815479271,-0.2892301368155796
Qatar,QAT,2009,60785.7351551657,2.8033318998540535
Romania,ROU,2009,8548.4543409242,-0.0386101289152709
Russia,RUS,2009,8562.82421875,-0.0378283432039004
Saudi Arabia,SAU,2009,17718.3911648365,0.46027550323905403
Senegal,SEN,2009,1308.69404336205,-0.4324855134519026
Serbia,SRB,2009,6414.0448463847,-0.15473156469035726
Slovakia,SVK,2009,16586.7527805228,0.3987093069206399
Slovenia,SVN,2009,24501.7897290425,0.8293227655968362
Sweden,SWE,2009,46707.8673215418,2.0374328398683748
Togo,TGO,2009,720.694168794129,-0.4644753400737754
Trinidad and Tobago,TTO,2009,14634.0565003912,0.2924738838391506
Tunisia,TUN,2009,4080.09032448781,-0.281709143645934
Turkey,TUR,2009,9012.99945793034,-0.013336794015354281
Ukraine,UKR,2009,2607.08764648438,-0.36184708639211216
Uruguay,URY,2009,9881.39573127081,0.03390785249695232
United States,USA,2009,47194.9500893872,2.0639323239121867
South Africa,ZAF,2009,6374.70560042992,-0.15687179585699373
Angola,AGO,2010,3597.34293216332,-0.30797276384478117
Argentina,ARG,2010,10260.1313108254,0.05451276424865768
Australia,AUS,2010,52144.6654705468,2.3332190086878692
Austria,AUT,2010,46611.1393420232,2.03217040457184
Belgium,BEL,2010,44197.393671162,1.9008518297560106
Bulgaria,BGR,2010,6853.94805511171,-0.1307988599632969
Bosnia and Herzegovina,BIH,2010,4506.47828548389,-0.25851172892549457
Bolivia,BOL,2010,1929.78373077158,-0.3986954528137707
Brazil,BRA,2010,11403.2821278747,0.11670528846804017
Canada,CAN,2010,47560.6666009406,2.0838289400567844
Switzerland,CHE,2010,76531.3728182297,3.6599651079178828
Chile,CHL,2010,12632.8704724192,0.18360040130655575
China,CHN,2010,4629.24551710077,-0.25183264169412883
Ivory Coast,CIV,2010,1553.54887048143,-0.41916431423764533
Cameroon,CMR,2010,1398.58702025047,-0.4275949329100314
Colombia,COL,2010,6398.2958447102,-0.15558838091570942
Costa Rica,CRI,2010,8265.78820275899,-0.053988432794032856
Czech Republic,CZE,2010,20160.4355077059,0.5931336525519643
Germany,DEU,2010,42409.9356994694,1.80360611069808
Denmark,DNK,2010,58104.5445594981,2.657463123336662
Algeria,DZA,2010,4912.78585503672,-0.2364067774326042
Ecuador,ECU,2010,4520.30959039763,-0.2577592439926195
Egypt,EGY,2010,2455.08194645282,-0.3701168772540902
Spain,ESP,2010,30658.7422282912,1.1642885563885499
France,FRA,2010,40694.8211697025,1.7102961988818315
Ghana,GHA,2010,1263.89251760539,-0.4349229171033984
Greece,GRC,2010,26653.0488008626,0.9463608938393393
Honduras,HND,2010,1893.32722662035,-0.4006788499155038
Croatia,HRV,2010,13731.2865213989,0.2433591537916029
Republic of Ireland,IRL,2010,48679.4026820361,2.144693193295234
Iran,IRN,2010,6291.19443652344,-0.1614151771907435
Iceland,ISL,2010,43237.0729488958,1.848606081524752
Italy,ITA,2010,35856.8625485539,1.4470895823701113
Jamaica,JAM,2010,4809.977380312,-0.24200001890075876
Japan,JPN,2010,44968.1562349739,1.9427847652027934
South Korea,KOR,2010,23079.2601257735,0.7519307841674249
Morocco,MAR,2010,3067.9853515625,-0.3367721870365597
Mexico,MEX,2010,9728.80078237782,0.025606003857873427
Nigeria,NGA,2010,2202.25672957344,-0.3838717013678741
Netherlands,NLD,2010,51305.7338533973,2.2875773714342205
Norway,NOR,2010,88163.2085931423,4.292789068989271
New Zealand,NZL,2010,33761.9009639947,1.333114289571318
Panama,PAN,2010,8331.46421351868,-0.05041536366886916
Peru,PER,2010,5072.11494019615,-0.22773856162079448
