iso3,country,hdicode,region,hdi_rank_2023,year,mean_school_years,norm_mean_school_years
JAM,Jamaica,High,LAC,117.0,1993,6.936999941,-0.2507138042136591
JPN,Japan,Very High,Developed,23.0,1993,11.77350025,1.2109167075000913
PRK,North Korea,Other Countries or Territories,EAP,,1993,6.52302099152,-0.37582167666457195
KOR,South Korea,Very High,Developed,20.0,1993,9.708000183,0.5867054541158839
MEX,Mexico,High,LAC,81.0,1993,6.162999821,-0.4846230607388621
MAR,Morocco,High,AS,120.0,1993,2.44,-1.60974448859287
NLD,Netherlands,Very High,Developed,8.0,1993,11.28962291,1.064684961633188
NZL,New Zealand,Very High,Developed,17.0,1993,10.93399963,0.9572126565541474
NGA,Nigeria,Medium,SSA,164.0,1993,3.280561292,-1.3557198937703474
NOR,Norway,Very High,Developed,2.0,1993,11.8214285,1.2254010222106033
PAN,Panama,Very High,LAC,59.0,1993,7.550999928,-0.06515791506773179
PRY,Paraguay,High,LAC,99.0,1993,6.055454384,-0.5171241838799644
PER,Peru,High,LAC,79.0,1993,7.949999809,0.05542315863850281
POL,Poland,Very High,Developed,35.0,1993,10.23076689,0.7446898892739803
PRT,Portugal,Very High,Developed,40.0,1993,5.788571426,-0.5977784275576359
QAT,Qatar,Very High,AS,43.0,1993,6.812579134,-0.28831480414843397
ROU,Romania,Very High,Developed,55.0,1993,8.788999653,0.30897587092335493
RUS,Russia,Very High,Developed,64.0,1993,10.21897909,0.741127518335242
SAU,Saudi Arabia,Very High,AS,37.0,1993,5.87643079,-0.571226598971334
SEN,Senegal,Low,SSA,169.0,1993,1.921367877,-1.7664794181701649
SRB,Serbia,Very High,ECA,62.0,1993,6.707985016,-0.31992401420681127
SVK,Slovakia,Very High,Developed,44.0,1993,7.779999924,0.004047783257785766
SVN,Slovenia,Very High,Developed,21.0,1993,8.174615567,0.12330390387356147
ZAF,South Africa,High,SSA,106.0,1993,7.771165622,0.001377983913647169
ESP,Spain,Very High,Developed,28.0,1993,6.465384813,-0.39323980790021973
SWE,Sweden,Very High,Developed,5.0,1993,10.21000004,0.7384139749448323
CHE,Switzerland,Very High,Developed,2.0,1993,10.50328592,0.8270474006607607
TGO,Togo,Medium,SSA,161.0,1993,2.568157707,-1.5710141664808466
TTO,Trinidad and Tobago,Very High,LAC,72.0,1993,7.758333365,-0.0025000305941673836
TUN,Tunisia,High,AS,105.0,1993,3.88820419,-1.1720851696517003
TUR,Turkey,Very High,ECA,51.0,1993,4.622276801,-0.9502423375413842
UKR,Ukraine,High,ECA,87.0,1993,9.827319593,0.6227647695616311
USA,United States,Very High,Developed,17.0,1993,13.12249994,1.6185956036488796
URY,Uruguay,Very High,LAC,48.0,1993,7.269301247,-0.15028959313108986
DZA,Algeria,High,AS,96.0,1994,4.649519216,-0.9420094537550082
AGO,Angola,Medium,SSA,148.0,1994,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1994,8.393999672,0.18960360017593023
AUS,Australia,Very High,Developed,7.0,1994,11.31355648,1.0719178850139932
AUT,Austria,Very High,Developed,22.0,1994,10.56214292,0.8448344742742684
BEL,Belgium,Very High,Developed,10.0,1994,9.966910011,0.6649501517711611
BOL,Bolivia,High,LAC,108.0,1994,6.43222226,-0.40326180649720667
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1994,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1994,4.268822466,-1.0570591694502216
BGR,Bulgaria,Very High,Developed,55.0,1994,7.963333236,0.05945263087747751
CMR,Cameroon,Medium,SSA,155.0,1994,2.472442647,-1.5999400515606386
CAN,Canada,Very High,Developed,16.0,1994,11.44200001,1.1107345852074921
CHL,Chile,Very High,LAC,45.0,1994,8.70260815,0.28286764210702764
CHN,China,High,EAP,78.0,1994,4.931999874,-0.8566414557558217
COL,Colombia,High,LAC,83.0,1994,6.551818197,-0.3671189222982932
CRI,Costa Rica,Very High,LAC,62.0,1994,7.173134533,-0.17935197179611095
HRV,Croatia,Very High,Developed,41.0,1994,7.781000185,0.004350070429060483
CZE,Czech Republic,Very High,Developed,29.0,1994,9.855999947,0.6314322104413815
CIV,Ivory Coast,Medium,SSA,157.0,1994,2.326473903,-1.6440530167950078
DNK,Denmark,Very High,Developed,4.0,1994,11.56000042,1.146395287912253
ECU,Ecuador,High,LAC,88.0,1994,6.978235245,-0.2382521533017307
EGY,Egypt,High,AS,100.0,1994,5.955336444,-0.5473806558172488
FRA,France,Very High,Developed,26.0,1994,8.318571499,0.166808580625437
DEU,Germany,Very High,Developed,5.0,1994,11.20496676,1.039101170888057
GHA,Ghana,Medium,SSA,143.0,1994,4.694314516,-0.9284719425220338
GRC,Greece,Very High,Developed,34.0,1994,8.327857188,0.16961479286518952
HND,Honduras,Medium,LAC,139.0,1994,4.182614098,-1.0831120533504606
ISL,Iceland,Very High,Developed,1.0,1994,10.97459386,0.9694805695856249
IRN,Iran,High,SA,75.0,1994,6.870107388,-0.27092928859795434
IRL,Republic of Ireland,Very High,Developed,11.0,1994,9.690000343,0.5812657531608343
ITA,Italy,Very High,Developed,29.0,1994,7.960489519,0.05859323601170136
JAM,Jamaica,High,LAC,117.0,1994,7.020499921,-0.22547941763285426
JPN,Japan,Very High,Developed,23.0,1994,11.81800022,1.22436496755733
PRK,North Korea,Other Countries or Territories,EAP,,1994,6.61319826056,-0.34856935794836874
KOR,South Korea,Very High,Developed,20.0,1994,9.854000092,0.6308278376717643
MEX,Mexico,High,LAC,81.0,1994,6.233999825,-0.463166270591431
MAR,Morocco,High,AS,120.0,1994,2.55,-1.576501576152789
NLD,Netherlands,Very High,Developed,8.0,1994,11.3519016,1.0835060983473057
NZL,New Zealand,Very High,Developed,17.0,1994,11.20099964,1.0379022743171542
NGA,Nigeria,Medium,SSA,164.0,1994,3.456769929,-1.3024681820341923
NOR,Norway,Very High,Developed,2.0,1994,11.85857133,1.2366258935330292
PAN,Panama,Very High,LAC,59.0,1994,7.597999954,-0.05095411734955441
PRY,Paraguay,High,LAC,99.0,1994,6.160908959,-0.4852549365787736
PER,Peru,High,LAC,79.0,1994,8.00909077,0.07328093720689598
POL,Poland,Very High,Developed,35.0,1994,10.41850718,0.8014265622007573
PRT,Portugal,Very High,Developed,40.0,1994,5.96285711,-0.5451078481688026
QAT,Qatar,Very High,AS,43.0,1994,6.946065639,-0.24797407507891145
ROU,Romania,Very High,Developed,55.0,1994,8.887999725,0.3388945138784255
RUS,Russia,Very High,Developed,64.0,1994,10.40749715,0.7980992398075508
SAU,Saudi Arabia,Very High,AS,37.0,1994,5.976882598,-0.5408692293550442
SEN,Senegal,Low,SSA,169.0,1994,1.895943349,-1.7741629214259318
SRB,Serbia,Very High,ECA,62.0,1994,6.844268198,-0.2787381061497055
SVK,Slovakia,Very High,Developed,44.0,1994,8.089999962,0.09773236616374795
SVN,Slovenia,Very High,Developed,21.0,1994,8.506923235,0.22373003760530308
ZAF,South Africa,High,SSA,106.0,1994,8.128341938,0.1093196293541815
ESP,Spain,Very High,Developed,28.0,1994,6.663077134,-0.3334955486540432
SWE,Sweden,Very High,Developed,5.0,1994,10.35999966,0.7837451043421543
CHE,Switzerland,Very High,Developed,2.0,1994,10.49294804,0.8239232075729783
TGO,Togo,Medium,SSA,161.0,1994,2.65185144,-1.545721226136278
TTO,Trinidad and Tobago,Very High,LAC,72.0,1994,7.92777782,0.04870748923330779
TUN,Tunisia,High,AS,105.0,1994,4.029593433,-1.1293561676060788
TUR,Turkey,Very High,ECA,51.0,1994,4.677374183,-0.9335914516731685
UKR,Ukraine,High,ECA,87.0,1994,10.01005901,0.6779901371860174
USA,United States,Very High,Developed,17.0,1994,13.17000008,1.6329505399662572
URY,Uruguay,Very High,LAC,48.0,1994,7.30743397,-0.13876556793299094
DZA,Algeria,High,AS,96.0,1995,4.832625905,-0.8866730934857338
AGO,Angola,Medium,SSA,148.0,1995,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1995,8.461999702,0.21015377329604754
AUS,Australia,Very High,Developed,7.0,1995,11.33560629,1.0785815204971785
AUT,Austria,Very High,Developed,22.0,1995,10.65285724,0.872249094245373
BEL,Belgium,Very High,Developed,10.0,1995,10.1074637,0.7074266424671377
BOL,Bolivia,High,LAC,108.0,1995,6.543333371,-0.36968310709635976
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1995,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1995,4.414765115,-1.012954090341308
BGR,Bulgaria,Very High,Developed,55.0,1995,8.259999911,0.1491077608857956
CMR,Cameroon,Medium,SSA,155.0,1995,2.556212503,-1.5746241062140367
CAN,Canada,Very High,Developed,16.0,1995,11.61599998,1.1633188194555537
CHL,Chile,Very High,LAC,45.0,1995,8.782064928,0.3068801395054367
CHN,China,High,EAP,78.0,1995,5.129999876,-0.7968042127592588
COL,Colombia,High,LAC,83.0,1995,6.603636395,-0.3514590330354134
CRI,Costa Rica,Very High,LAC,62.0,1995,7.264318447,-0.15179543662296643
HRV,Croatia,Very High,Developed,41.0,1995,8.088000202,0.09712802210391897
CZE,Czech Republic,Very High,Developed,29.0,1995,10.04466661,0.6884488409729386
CIV,Ivory Coast,Medium,SSA,157.0,1995,2.415359119,-1.617191167224956
DNK,Denmark,Very High,Developed,4.0,1995,11.64999962,1.1735937926875015
ECU,Ecuador,High,LAC,88.0,1995,7.035294056,-0.22100850731983848
EGY,Egypt,High,AS,100.0,1995,6.118496346,-0.49807238003617427
FRA,France,Very High,Developed,26.0,1995,8.510714327,0.22487573705446942
DEU,Germany,Very High,Developed,5.0,1995,11.415311,1.1026689450025613
GHA,Ghana,Medium,SSA,143.0,1995,4.822108922,-0.8898514129857595
GRC,Greece,Very High,Developed,34.0,1995,8.457142898,0.2086860068404965
HND,Honduras,Medium,LAC,139.0,1995,4.262248465,-1.0590458870831672
